Time (s),Voltage (V)
18.64,0.0
18.68,0.004
18.72,0.002
18.76,-0.002
18.8,-0.004
18.84,-0.004
18.88,-0.004
18.92,0.0
18.96,-0.002
19.0,-0.002
19.04,0.0
19.080000000000002,0.002
19.12,0.0
19.16,0.0
19.2,0.0
19.240000000000002,0.006
19.28,0.004
19.32,0.002
19.36,0.002
19.400000000000002,0.004
19.44,0.0
19.48,-0.002
19.52,-0.004
19.56,-0.004
19.6,0.0
19.64,0.004
19.68,0.0
19.72,-0.004
19.76,-0.004
19.8,0.0
19.84,0.0
19.88,0.0
19.92,0.004
19.96,0.004
20.0,0.002
20.04,0.0
20.080000000000002,0.0
20.12,-0.004
20.16,-0.002
20.2,-0.004
20.240000000000002,-0.004
20.28,0.0
20.32,0.0
20.36,0.0
20.400000000000002,-0.004
20.44,0.0
20.48,0.002
20.52,0.0
20.56,0.002
20.6,0.004
20.64,0.004
20.68,0.002
20.72,-0.002
20.76,-0.002
20.8,-0.004
20.84,0.0
20.88,0.004
20.92,0.0
20.96,-0.004
21.0,-0.002
21.04,0.0
21.080000000000002,-0.002
21.12,-0.004
21.16,0.002
21.2,0.002
21.240000000000002,0.002
21.28,0.002
21.32,0.004
21.36,0.002
21.400000000000002,0.0
21.44,0.0
21.48,-0.002
21.52,0.0
21.56,0.002
21.6,0.0
21.64,-0.004
21.68,0.0
21.72,0.0
21.76,0.0
21.8,0.0
21.84,0.004
21.88,0.004
21.92,0.002
21.96,0.0
22.0,0.0
22.04,0.0
22.080000000000002,0.002
22.12,0.004
22.16,-0.004
22.2,-0.004
22.240000000000002,0.002
22.28,0.0
22.32,-0.006
22.36,-0.006
22.400000000000002,-0.002
22.44,-0.002
22.48,0.0
22.52,0.004
22.56,0.004
22.6,0.002
22.64,0.002
22.68,0.0
22.72,-0.002
22.76,0.0
22.8,0.002
22.84,-0.004
22.88,-0.004
22.92,0.0
22.96,0.0
23.0,-0.006
23.04,-0.004
23.080000000000002,0.002
23.12,0.002
23.16,0.0
23.2,0.002
23.240000000000002,0.002
23.28,0.0
23.32,0.004
23.36,0.004
23.400000000000002,-0.002
23.44,0.002
23.48,0.006
23.52,0.004
23.56,-0.004
23.6,-0.004
23.64,-0.004
23.68,-0.004
23.72,-0.004
23.76,0.002
23.8,0.002
23.84,0.0
23.88,0.002
23.92,0.002
23.96,0.0
24.0,0.002
24.04,0.0
24.080000000000002,-0.004
24.12,0.0
24.16,0.004
24.2,0.0
24.240000000000002,-0.004
24.28,-0.006
24.32,-0.002
24.36,-0.002
24.400000000000002,-0.002
24.44,0.0
24.48,0.002
24.52,0.002
24.560000000000002,0.002
24.6,0.0
24.64,-0.002
24.68,0.002
24.72,0.006
24.76,0.004
24.8,0.0
24.84,0.0
24.88,0.0
24.92,-0.004
24.96,-0.006
25.0,-0.004
25.04,0.0
25.080000000000002,0.0
25.12,0.0
25.16,0.002
25.2,0.002
25.240000000000002,0.0
25.28,0.0
25.32,0.0
25.36,0.002
25.400000000000002,0.004
25.44,0.004
25.48,-0.004
25.52,-0.004
25.560000000000002,0.0
25.6,0.0
25.64,-0.004
25.68,0.0
25.72,0.002
25.76,0.0
25.8,0.0
25.84,-0.002
25.88,0.0
25.92,0.002
25.96,0.004
26.0,0.004
26.04,0.0
26.080000000000002,0.002
26.12,0.004
26.16,0.0
26.2,-0.006
26.240000000000002,-0.004
26.28,-0.002
26.32,-0.004
26.36,0.0
26.400000000000002,0.0
26.44,0.0
26.48,-0.002
26.52,-0.002
26.560000000000002,0.0
26.6,0.002
26.64,0.004
26.68,0.002
26.72,0.0
26.76,0.002
26.8,0.002
26.84,-0.002
26.88,-0.004
26.92,0.0
26.96,0.0
27.0,-0.004
27.04,0.0
27.080000000000002,0.0
27.12,-0.004
27.16,0.0
27.2,0.002
27.240000000000002,0.0
27.28,0.0
27.32,0.008
27.36,0.008
27.400000000000002,0.002
27.44,0.002
27.48,0.002
27.52,-0.004
27.560000000000002,-0.002
27.6,0.0
27.64,0.0
27.68,0.0
27.72,0.0
27.76,0.0
27.8,-0.002
27.84,0.002
27.88,0.002
27.92,-0.002
27.96,0.0
28.0,0.004
28.04,0.002
28.080000000000002,-0.002
28.12,0.0
28.16,0.0
28.2,-0.004
28.240000000000002,-0.002
28.28,0.0
28.32,-0.004
28.36,-0.004
28.400000000000002,0.0
28.44,-0.002
28.48,-0.008
28.52,0.0
28.560000000000002,0.004
28.6,0.002
28.64,0.002
28.68,0.004
28.72,0.004
28.76,0.0
28.8,0.002
28.84,0.0
28.88,-0.002
28.92,0.0
28.96,0.0
29.0,0.0
29.04,0.0
29.080000000000002,0.0
29.12,-0.004
29.16,-0.006
29.2,0.0
29.240000000000002,0.004
29.28,0.004
29.32,0.0
29.36,0.002
29.400000000000002,0.0
29.44,0.0
29.48,0.0
29.52,0.0
29.560000000000002,0.0
29.6,0.0
29.64,0.0
29.68,-0.004
29.72,-0.008
29.76,-0.004
29.8,0.0
29.84,0.0
29.88,0.0
29.92,0.002
29.96,0.002
30.0,0.002
30.04,0.002
30.080000000000002,0.0
30.12,-0.002
30.16,0.0
30.2,0.0
30.240000000000002,0.002
30.28,0.0
30.32,-0.002
30.36,-0.004
30.400000000000002,-0.006
30.44,-0.002
30.48,0.002
30.52,0.0
30.560000000000002,0.0
30.6,0.0
30.64,0.002
30.68,0.0
30.72,0.0
30.76,0.002
30.8,0.0
30.84,0.0
30.88,0.0
30.92,0.0
30.96,-0.004
31.0,-0.006
31.04,-0.002
31.080000000000002,0.0
31.12,-0.004
31.16,0.0
31.2,0.004
31.240000000000002,0.002
31.28,0.002
31.32,0.002
31.36,0.002
31.400000000000002,0.0
31.44,0.004
31.48,0.004
31.52,0.002
31.560000000000002,0.002
31.6,0.0
31.64,-0.004
31.68,-0.004
31.720000000000002,0.0
31.76,0.0
31.8,-0.004
31.84,0.0
31.88,0.002
31.92,0.0
31.96,0.0
32.0,0.002
32.04,0.0
32.08,0.0
32.12,0.004
32.160000000000004,0.002
32.2,-0.004
32.24,-0.002
32.28,0.0
32.32,-0.004
32.36,-0.008
32.4,-0.002
32.44,0.0
32.480000000000004,0.0
32.52,0.0
32.56,0.0
32.6,0.0
32.64,0.0
32.68,0.002
32.72,0.002
32.76,0.002
32.8,0.002
32.84,0.004
32.88,0.0
32.92,0.0
32.96,0.0
33.0,-0.002
33.04,-0.002
33.08,0.002
33.12,0.0
33.160000000000004,0.0
33.2,0.0
33.24,0.0
33.28,0.0
33.32,0.004
33.36,0.004
33.4,0.002
33.44,0.002
33.480000000000004,0.004
33.52,0.002
33.56,-0.004
33.6,-0.004
33.64,-0.002
33.68,-0.002
33.72,-0.002
33.76,-0.002
33.8,-0.004
33.84,-0.002
33.88,0.002
33.92,0.0
33.96,-0.002
34.0,0.0
34.04,0.002
34.08,0.002
34.12,0.002
34.160000000000004,0.004
34.2,0.0
34.24,-0.004
34.28,0.0
34.32,0.0
34.36,-0.002
34.4,0.0
34.44,0.002
34.480000000000004,-0.004
34.52,-0.004
34.56,0.0
34.6,0.0
34.64,0.0
34.68,0.004
34.72,0.008
34.76,0.002
34.800000000000004,0.0
34.84,0.0
34.88,0.0
34.92,0.0
34.96,0.0
35.0,0.0
35.04,-0.004
35.08,0.0
35.12,0.002
35.160000000000004,0.0
35.2,-0.004
35.24,-0.004
35.28,0.0
35.32,0.002
35.36,0.004
35.4,0.006
35.44,0.002
35.480000000000004,0.0
35.52,0.002
35.56,0.002
35.6,0.0
35.64,0.0
35.68,0.002
35.72,-0.002
35.76,-0.004
35.800000000000004,-0.002
35.84,-0.004
35.88,-0.004
35.92,0.0
35.96,0.004
36.0,0.004
36.04,0.0
36.08,0.002
36.12,0.004
36.160000000000004,0.0
36.2,0.0
36.24,-0.002
36.28,-0.002
36.32,0.0
36.36,0.002
36.4,0.0
36.44,-0.006
36.480000000000004,-0.006
36.52,0.0
36.56,0.0
36.6,0.0
36.64,0.002
36.68,0.002
36.72,0.0
36.76,0.002
36.800000000000004,0.004
36.84,0.0
36.88,0.004
36.92,0.002
36.96,0.002
37.0,0.0
37.04,0.0
37.08,-0.002
37.12,-0.006
37.160000000000004,0.0
37.2,0.004
37.24,0.0
37.28,0.0
37.32,0.004
37.36,0.006
37.4,0.0
37.44,0.0
37.480000000000004,0.0
37.52,0.0
37.56,0.002
37.6,0.004
37.64,0.0
37.68,-0.006
37.72,-0.002
37.76,0.0
37.800000000000004,-0.006
37.84,-0.006
37.88,0.0
37.92,-0.002
37.96,-0.004
38.0,0.0
38.04,0.002
38.08,0.0
38.12,0.002
38.160000000000004,0.004
38.2,0.0
38.24,0.002
38.28,0.002
38.32,0.0
38.36,-0.004
38.4,0.0
38.44,0.0
38.480000000000004,-0.006
38.52,-0.004
38.56,0.002
38.6,0.002
38.64,0.0
38.68,0.0
38.72,0.0
38.76,0.0
38.800000000000004,0.002
38.84,0.004
38.88,0.0
38.92,0.002
38.96,0.004
39.0,0.0
39.04,-0.004
39.08,-0.002
39.12,-0.002
39.160000000000004,-0.004
39.2,-0.004
39.24,0.0
39.28,0.0
39.32,0.0
39.36,0.0
39.4,0.0
39.44,0.0
39.480000000000004,0.004
39.52,0.004
39.56,0.0
39.6,0.002
39.64,0.002
39.68,-0.002
