Time (s),Voltage (V)
561.48,0.004
561.52,0.004
561.5600000000001,0.004
561.6,0.008
561.64,0.008
561.6800000000001,0.002
561.72,0.004
561.76,0.002
561.8000000000001,0.004
561.84,0.002
561.88,0.008
561.92,0.004
561.96,0.0
562.0,0.002
562.04,0.0
562.08,-0.004
562.12,-0.004
562.16,0.004
562.2,0.004
562.24,0.0
562.28,0.002
562.32,0.008
562.36,0.004
562.4,0.004
562.44,0.004
562.48,0.002
562.52,0.002
562.5600000000001,0.006
562.6,0.004
562.64,-0.002
562.6800000000001,0.0
562.72,0.002
562.76,0.002
562.8000000000001,0.0
562.84,0.008
562.88,0.008
562.92,0.004
562.96,0.004
563.0,0.004
563.04,0.004
563.08,0.004
563.12,0.008
563.16,0.004
563.2,0.004
563.24,0.006
563.28,0.004
563.32,0.0
563.36,0.0
563.4,0.002
563.44,0.0
563.48,0.0
563.52,0.004
563.5600000000001,0.008
563.6,0.004
563.64,0.004
563.6800000000001,0.002
563.72,0.002
563.76,0.004
563.8000000000001,0.008
563.84,0.002
563.88,-0.002
563.92,0.002
563.96,0.004
564.0,0.0
564.04,0.0
564.08,0.002
564.12,0.002
564.16,0.004
564.2,0.004
564.24,0.002
564.28,0.004
564.32,0.004
564.36,0.004
564.4,0.002
564.44,0.004
564.48,0.008
564.52,0.006
564.5600000000001,0.002
564.6,0.002
564.64,0.0
564.6800000000001,-0.002
564.72,-0.002
564.76,0.0
564.8000000000001,0.004
564.84,0.004
564.88,0.004
564.92,0.004
564.96,0.004
565.0,0.006
565.04,0.004
565.08,0.002
565.12,0.002
565.16,0.004
565.2,0.004
565.24,0.004
565.28,0.0
565.32,-0.002
565.36,0.0
565.4,0.002
565.44,0.004
565.48,0.002
565.52,0.004
565.5600000000001,0.004
565.6,0.002
565.64,0.002
565.6800000000001,0.002
565.72,0.008
565.76,0.006
565.8000000000001,0.004
565.84,0.006
565.88,0.004
565.92,0.0
565.96,-0.004
566.0,0.0
566.04,0.0
566.08,0.0
566.12,0.002
566.16,0.004
566.2,0.004
566.24,0.004
566.28,0.004
566.32,0.0
566.36,0.0
566.4,0.006
566.44,0.008
566.48,0.004
566.52,0.0
566.5600000000001,0.0
566.6,-0.002
566.64,0.0
566.6800000000001,0.002
566.72,0.002
566.76,0.002
566.8000000000001,0.004
566.84,0.002
566.88,0.0
566.92,0.004
566.96,0.008
567.0,0.004
567.04,0.004
567.08,0.01
567.12,0.008
567.16,0.004
